len,segNum,time(ms)
3927,1860,9
3927,2066,9
3927,2273,8
3927,2480,7
3927,2686,3
3927,2893,5
3927,3100,6
3927,3306,5
3927,3513,4
3927,3720,2
3927,3927,2
4114,216,39
4114,433,33
4114,649,26
4114,866,22
4114,1082,18
4114,1299,19
4114,1515,14
4114,1732,15
4114,1948,10
4114,2165,7
4114,2381,10
4114,2598,10
4114,2814,9
4114,3031,4
4114,3247,6
4114,3464,1
4114,3680,3
4114,3897,1
4114,4114,1
4301,226,41
4301,452,34
4301,679,24
4301,905,23
4301,1131,20
4301,1358,16
4301,1584,15
4301,1810,10
4301,2037,13
4301,2263,9
4301,2490,9
4301,2716,7
4301,2942,11
4301,3169,6
4301,3395,6
4301,3621,3
4301,3848,4
4301,4074,2
4301,4301,1
4488,236,45
4488,472,33
4488,708,27
4488,944,24
4488,1181,22
4488,1417,0
4488,1653,17
4488,1889,13
4488,2125,7
4488,2362,20
4488,2598,11
4488,2834,10
4488,3070,9
4488,3306,9
4488,3543,3
4488,3779,4
4488,4015,9
4488,4251,3
4488,4488,2
4675,246,45
4675,492,36
4675,738,27
4675,984,25
4675,1230,21
4675,1476,19
4675,1722,19
4675,1968,15
4675,2214,15
4675,2460,13
4675,2706,12
4675,2952,11
4675,3198,9
4675,3444,3
4675,3690,5
4675,3936,5
4675,4182,5
4675,4428,4
4675,4675,0
4862,255,50
4862,511,36
4862,767,29
4862,1023,22
4862,1279,21
4862,1535,20
4862,1791,14
4862,2047,7
4862,2303,12
4862,2558,13
4862,2814,8
4862,3070,9
4862,3326,6
4862,3582,5
4862,3838,7
4862,4094,3
4862,4350,0
4862,4606,1
4862,4862,1
5049,265,47
5049,531,35
5049,797,31
5049,1062,25
5049,1328,26
5049,1594,22
5049,1860,17
5049,2125,14
5049,2391,14
5049,2657,12
5049,2923,9
5049,3188,11
5049,3454,12
5049,3720,6
5049,3986,11
5049,4251,4
5049,4517,4
5049,4783,3
5049,5049,3
5236,275,53
5236,551,42
5236,826,30
5236,1102,30
5236,1377,17
5236,1653,19
5236,1929,16
5236,2204,18
5236,2480,15
5236,2755,15
5236,3031,8
5236,3306,9
5236,3582,8
5236,3858,12
5236,4133,6
5236,4409,6
5236,4684,2
5236,4960,4
5236,5236,1
5423,285,53
5423,570,39
5423,856,36
5423,1141,31
5423,1427,22
5423,1712,20
5423,1997,25
5423,2283,11
5423,2568,15
5423,2854,15
5423,3139,20
5423,3425,9
5423,3710,8
5423,3995,10
5423,4281,6
5423,4566,6
5423,4852,8
5423,5137,3
5423,5423,0
5610,295,54
5610,590,63
5610,885,46
5610,1181,25
5610,1476,21
5610,1771,30
5610,2066,23
