len,segNum,time(ms)
3927,1860,11
3927,2066,8
3927,2273,6
3927,2480,6
3927,2686,11
3927,2893,5
3927,3100,5
3927,3306,3
3927,3513,2
3927,3720,3
3927,3927,2
4114,216,37
4114,433,29
4114,649,24
4114,866,20
4114,1082,16
4114,1299,17
4114,1515,18
4114,1732,12
4114,1948,17
4114,2165,3
4114,2381,9
4114,2598,5
4114,2814,4
4114,3031,7
4114,3247,4
4114,3464,2
4114,3680,2
4114,3897,2
4114,4114,2
4301,226,39
4301,452,29
4301,679,22
4301,905,21
4301,1131,18
4301,1358,13
4301,1584,17
4301,1810,14
4301,2037,10
4301,2263,8
4301,2490,14
4301,2716,8
4301,2942,6
4301,3169,6
4301,3395,4
4301,3621,7
4301,3848,1
4301,4074,1
4301,4301,0
4488,236,40
4488,472,31
4488,708,24
4488,944,24
4488,1181,18
4488,1417,20
4488,1653,15
4488,1889,13
4488,2125,5
4488,2362,8
4488,2598,11
4488,2834,9
4488,3070,3
4488,3306,1
4488,3543,5
4488,3779,3
4488,4015,2
4488,4251,1
4488,4488,0
4675,246,42
4675,492,32
4675,738,27
4675,984,22
4675,1230,21
4675,1476,16
4675,1722,14
4675,1968,14
4675,2214,11
4675,2460,13
4675,2706,10
4675,2952,9
4675,3198,8
4675,3444,2
4675,3690,3
4675,3936,6
4675,4182,2
4675,4428,1
4675,4675,1
4862,255,49
4862,511,35
4862,767,26
4862,1023,23
4862,1279,21
4862,1535,18
4862,1791,17
4862,2047,14
4862,2303,13
4862,2558,18
4862,2814,8
4862,3070,5
4862,3326,7
4862,3582,8
4862,3838,9
4862,4094,7
4862,4350,8
4862,4606,3
4862,4862,0
5049,265,48
5049,531,37
5049,797,26
5049,1062,22
5049,1328,11
5049,1594,23
5049,1860,16
5049,2125,14
5049,2391,16
5049,2657,9
5049,2923,10
5049,3188,12
5049,3454,10
5049,3720,9
5049,3986,3
5049,4251,5
5049,4517,4
5049,4783,3
5049,5049,1
5236,275,48
5236,551,35
5236,826,34
5236,1102,26
5236,1377,20
5236,1653,19
5236,1929,16
5236,2204,13
5236,2480,11
5236,2755,12
5236,3031,10
5236,3306,9
5236,3582,6
5236,3858,6
5236,4133,6
5236,4409,5
5236,4684,2
5236,4960,0
5236,5236,3
5423,285,40
5423,570,41
5423,856,27
5423,1141,55
5423,1427,26
5423,1712,20
5423,1997,16
5423,2283,13
5423,2568,15
5423,2854,13
5423,3139,0
5423,3425,10
5423,3710,7
5423,3995,6
5423,4281,8
5423,4566,2
5423,4852,8
5423,5137,1
5423,5423,0
5610,295,56
5610,590,36
5610,885,40
5610,1181,37
5610,1476,23
5610,1771,19
5610,2066,21
5610,2362,21
5610,2657,14
5610,2952,12
5610,3247,17
5610,3543,13
5610,3838,6
5610,4133,6
5610,4428,8
5610,4724,10
5610,5019,3
5610,5314,2
5610,5610,0
5797,305,51
5797,610,38
5797,915,64
5797,1220,27
5797,1525,26
5797,1830,19
5797,2135,20
5797,2440,14
5797,2745,15
5797,3051,12
5797,3356,12
5797,3661,11
5797,3966,15
5797,4271,7
5797,4576,10
5797,4881,5
5797,5186,2
5797,5491,3
5797,5797,0
5984,314,56
5984,629,53
5984,944,29
5984,1259,28
5984,1574,25
5984,1889,23
5984,2204,24
5984,2519,17
5984,2834,20
5984,3149,37
5984,3464,13
5984,3779,12
5984,4094,12
5984,4409,10
5984,4724,5
5984,5039,6
5984,5354,2
5984,5669,2
5984,5984,1
6171,324,58
6171,649,42
6171,974,37
6171,1299,30
6171,1623,26
6171,1948,26
6171,2273,22
6171,2598,20
6171,2923,15
6171,3247,15
6171,3572,17
6171,3897,11
6171,4222,10
6171,4547,7
6171,4871,5
6171,5196,11
6171,5521,9
6171,5846,3
6171,6171,0
6358,334,62
6358,669,50
6358,1003,40
6358,1338,32
6358,1673,28
6358,2007,25
6358,2342,22
6358,2677,17
6358,3011,12
6358,3346,18
6358,3680,12
6358,4015,11
6358,4350,11
6358,4684,8
6358,5019,9
6358,5354,8
6358,5688,7
6358,6023,0
6358,6358,3
6545,344,60
6545,688,44
6545,1033,42
6545,1377,32
6545,1722,28
6545,2066,25
6545,2411,21
6545,2755,20
6545,3100,7
6545,3444,16
6545,3789,19
6545,4133,11
6545,4478,13
6545,4822,8
6545,5167,7
6545,5511,6
6545,5856,2
6545,6200,5
6545,6545,1
6732,354,63
6732,708,45
6732,1062,40
6732,1417,36
6732,1771,27
6732,2125,24
6732,2480,22
6732,2834,18
6732,3188,18
6732,3543,14
6732,3897,13
6732,4251,11
6732,4606,11
6732,4960,6
6732,5314,5
6732,5669,8
6732,6023,5
6732,6377,3
6732,6732,1
6919,364,64
6919,728,51
6919,1092,39
6919,1456,36
6919,1820,32
6919,2184,27
6919,2549,25
6919,2913,19
6919,3277,22
6919,3641,17
6919,4005,16
6919,4369,14
6919,4734,9
6919,5098,11
6919,5462,8
6919,5826,8
6919,6190,7
6919,6554,4
6919,6919,0
7106,374,69
7106,748,51
7106,1122,40
7106,1496,34
7106,1870,30
7106,2244,26
7106,2618,26
7106,2992,19
7106,3366,18
7106,3740,18
7106,4114,13
7106,4488,13
7106,4862,14
7106,5236,11
7106,5610,9
7106,5984,3
7106,6358,4
7106,6732,2
7106,7106,0
7293,383,64
7293,767,53
7293,1151,40
7293,1535,33
7293,1919,32
7293,2303,28
7293,2686,22
7293,3070,29
7293,3454,18
7293,3838,14
7293,4222,13
7293,4606,11
7293,4989,10
7293,5373,10
7293,5757,7
7293,6141,6
7293,6525,5
7293,6909,5
7293,7293,1
7480,393,76
7480,787,55
7480,1181,44
7480,1574,36
7480,1968,33
7480,2362,29
7480,2755,25
7480,3149,25
7480,3543,23
7480,3936,20
7480,4330,14
7480,4724,14
7480,5117,16
7480,5511,11
7480,5905,5
7480,6298,5
7480,6692,9
7480,7086,3
7480,7480,1
7667,403,71
7667,807,54
7667,1210,44
7667,1614,36
7667,2017,31
7667,2421,25
7667,2824,25
7667,3228,26
7667,3631,20
7667,4035,20
7667,4438,18
7667,4842,14
7667,5245,11
7667,5649,9
7667,6052,6
7667,6456,2
7667,6859,2
7667,7263,1
7667,7667,0
7854,413,75
7854,826,55
7854,1240,47
7854,1653,39
7854,2066,34
7854,2480,30
7854,2893,19
7854,3306,24
7854,3720,19
7854,4133,23
7854,4547,28
7854,4960,13
7854,5373,15
7854,5787,9
7854,6200,6
7854,6613,3
7854,7027,5
7854,7440,8
7854,7854,1
8041,423,76
8041,846,58
8041,1269,44
8041,1692,40
8041,2116,36
8041,2539,31
8041,2962,21
8041,3385,24
8041,3808,19
8041,4232,19
8041,4655,21
8041,5078,17
8041,5501,15
8041,5924,11
8041,6348,10
8041,6771,4
8041,7194,7
8041,7617,2
8041,8041,5
