len,segNum,time(ms)
3927,1860,13
3927,2066,11
3927,2273,10
3927,2480,11
3927,2686,3
3927,2893,5
3927,3100,1
3927,3306,6
3927,3513,6
3927,3720,4
3927,3927,4
4114,216,48
4114,433,37
4114,649,29
4114,866,22
4114,1082,17
4114,1299,18
4114,1515,8
4114,1732,12
4114,1948,7
4114,2165,9
4114,2381,8
4114,2598,9
4114,2814,7
4114,3031,10
4114,3247,10
4114,3464,7
4114,3680,5
4114,3897,2
4114,4114,6
4301,226,52
4301,452,37
4301,679,26
4301,905,24
4301,1131,17
4301,1358,15
4301,1584,28
4301,1810,11
4301,2037,11
4301,2263,10
4301,2490,9
4301,2716,10
4301,2942,7
4301,3169,6
4301,3395,4
4301,3621,1
4301,3848,3
4301,4074,4
4301,4301,5
4488,236,59
4488,472,39
4488,708,31
4488,944,23
4488,1181,19
4488,1417,31
4488,1653,13
4488,1889,11
4488,2125,13
4488,2362,12
4488,2598,12
4488,2834,10
4488,3070,3
4488,3306,8
4488,3543,4
4488,3779,6
4488,4015,3
4488,4251,4
4488,4488,8
4675,246,61
4675,492,43
4675,738,33
4675,984,27
4675,1230,18
4675,1476,10
4675,1722,15
4675,1968,12
4675,2214,16
4675,2460,9
4675,2706,9
4675,2952,8
4675,3198,5
4675,3444,10
4675,3690,6
4675,3936,3
4675,4182,6
4675,4428,5
4675,4675,3
4862,255,57
4862,511,42
4862,767,31
4862,1023,24
4862,1279,18
4862,1535,15
4862,1791,16
4862,2047,14
4862,2303,8
4862,2558,8
4862,2814,5
4862,3070,7
4862,3326,8
4862,3582,7
4862,3838,6
4862,4094,7
4862,4350,2
4862,4606,10
4862,4862,6
5049,265,60
5049,531,38
5049,797,32
5049,1062,28
5049,1328,8
5049,1594,17
5049,1860,9
5049,2125,12
5049,2391,11
5049,2657,10
5049,2923,9
5049,3188,13
5049,3454,13
5049,3720,9
5049,3986,12
5049,4251,8
5049,4517,7
5049,4783,6
5049,5049,4
5236,275,73
5236,551,64
5236,826,33
5236,1102,45
5236,1377,23
5236,1653,17
5236,1929,19
5236,2204,15
5236,2480,13
5236,2755,13
5236,3031,11
5236,3306,11
5236,3582,9
5236,3858,9
5236,4133,6
5236,4409,6
5236,4684,10
5236,4960,8
5236,5236,4
5423,285,67
5423,570,50
5423,856,39
5423,1141,29
5423,1427,26
5423,1712,22
5423,1997,17
5423,2283,13
5423,2568,14
5423,2854,13
5423,3139,14
5423,3425,11
5423,3710,13
5423,3995,10
5423,4281,12
5423,4566,4
5423,4852,2
5423,5137,6
5423,5423,2
5610,295,66
5610,590,55
5610,885,35
5610,1181,28
5610,1476,24
5610,1771,20
5610,2066,15
5610,2362,18
5610,2657,14
5610,2952,15
5610,3247,10
5610,3543,13
5610,3838,7
5610,4133,9
5610,4428,12
5610,4724,7
5610,5019,3
5610,5314,5
5610,5610,7
5797,305,71
5797,610,47
5797,915,37
5797,1220,31
5797,1525,25
5797,1830,23
5797,2135,17
5797,2440,19
5797,2745,15
5797,3051,15
5797,3356,13
5797,3661,9
5797,3966,10
